star_formation_efficiency,gas_mass_used_Msun,future_new_stars,total_stars_possible,gas_giant_occurrence,existing_possible_gas_giants,future_possible_gas_giants,total_possible_gas_giants
0.01,1300.0,2600.0,10700.0,0.05,405.0,130.0,535.0
0.01,1300.0,2600.0,10700.0,0.1,810.0,260.0,1070.0
0.01,1300.0,2600.0,10700.0,0.2,1620.0,520.0,2140.0
0.03,3900.0,7800.0,15900.0,0.05,405.0,390.0,795.0
0.03,3900.0,7800.0,15900.0,0.1,810.0,780.0,1590.0
0.03,3900.0,7800.0,15900.0,0.2,1620.0,1560.0,3180.0
0.05,6500.0,13000.0,21100.0,0.05,405.0,650.0,1055.0
0.05,6500.0,13000.0,21100.0,0.1,810.0,1300.0,2110.0
0.05,6500.0,13000.0,21100.0,0.2,1620.0,2600.0,4220.0
0.1,13000.0,26000.0,34100.0,0.05,405.0,1300.0,1705.0
0.1,13000.0,26000.0,34100.0,0.1,810.0,2600.0,3410.0
0.1,13000.0,26000.0,34100.0,0.2,1620.0,5200.0,6820.0
