structure_type,structure_mass_kg,recycling_efficiency,usable_recycled_mass_kg,possible_number
Dwarf galaxy,1.98847e+38,1.0,1.9181458800000003e+51,9.646e+12
Dwarf galaxy,1.98847e+38,0.1,1.9181458800000004e+50,9.646e+11
Large dwarf galaxy,1.98847e+39,1.0,1.9181458800000003e+51,9.646e+11
Large dwarf galaxy,1.98847e+39,0.1,1.9181458800000004e+50,9.646e+10
Milky Way stellar,1.193082e+41,1.0,1.9181458800000003e+51,1.608e+10
Milky Way stellar,1.193082e+41,0.1,1.9181458800000004e+50,1.608e+09
Milky Way baryonic,1.98847e+41,1.0,1.9181458800000003e+51,9.646e+09
Milky Way baryonic,1.98847e+41,0.1,1.9181458800000004e+50,9.646e+08
Milky Way halo-like,1.98847e+42,1.0,1.9181458800000003e+51,9.646e+08
Milky Way halo-like,1.98847e+42,0.1,1.9181458800000004e+50,9.646e+07
Galaxy group,1.98847e+43,1.0,1.9181458800000003e+51,9.646e+07
Galaxy group,1.98847e+43,0.1,1.9181458800000004e+50,9.646e+06
Galaxy cluster,1.98847e+45,1.0,1.9181458800000003e+51,9.646e+05
Galaxy cluster,1.98847e+45,0.1,1.9181458800000004e+50,9.646e+04
