H0,A,a_t,n,k,Omega_nu,BH_fraction,early_residual,vacuum_decay,present_age_Gyr,time_to_a10_Gyr,time_to_a1000_Gyr,time_to_a1e6_Gyr,q_future,fate
64.0,0.1,0.3,4,0.01,0.0,0.0,0.0,0.0,14.365022591837588,55.66618420415387,140.67070410011524,268.1963030119076,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,0.01,0.0,0.0,0.02,0.0,12.336795053397127,53.60069331370375,138.60521267213562,266.1308115839279,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,0.01,0.0,0.0,0.05,0.0,11.132462016665396,52.34148528856552,137.34600384070328,264.87160275249545,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,0.01,0.0,0.002,0.0,0.0,14.364219612583184,55.66521187132231,140.6697316034504,268.19533051524274,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,0.01,0.0,0.002,0.02,0.0,12.33628982272562,53.600020556307626,138.6045397509062,266.13013866269847,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,0.01,0.0,0.002,0.05,0.0,11.132084318306935,52.3409427038122,137.34546109211692,264.8710600039091,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,0.01,0.0,0.01,0.0,0.0,14.361009177156731,55.66132408776007,140.66584316455413,268.1914420763465,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,0.01,0.0,0.01,0.02,0.0,12.334269558834752,53.59733024998625,138.60184878925094,266.1274477010432,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,0.01,0.0,0.01,0.05,0.0,11.13057393061185,52.338772832593136,137.34329056556416,264.86888947735633,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,0.01,0.01,0.0,0.0,0.0,13.901163671113128,55.46683002173534,141.09875689724782,269.56564195381884,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.01,0.01,0.0,0.02,0.0,12.165228515672547,53.69329763930428,139.32522396530027,267.7921090218713,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.01,0.01,0.0,0.05,0.0,11.022455812445289,52.495158660765135,138.12708416248748,266.59396921905835,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.01,0.01,0.002,0.0,0.0,13.90045071581354,55.46594567083203,141.0978723788576,269.56475743542865,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.01,0.01,0.002,0.02,0.0,12.164745597096108,53.692645172573584,139.32457133108295,267.791456387654,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.01,0.01,0.002,0.05,0.0,11.022089593042368,52.49462556334307,138.1265508975783,266.5934359541492,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.01,0.01,0.01,0.0,0.0,13.897600075773266,55.46240951547963,141.094335553557,269.56122061012803,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.01,0.01,0.01,0.02,0.0,12.16281453083108,53.69003597906834,139.32196146762965,267.78884652420066,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.01,0.01,0.01,0.05,0.0,11.020625100090644,52.49249362124791,138.1244182855356,266.59130334210647,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.01,0.03,0.0,0.0,0.0,13.241301029626444,55.35264851917858,142.28222767646162,272.6959570818344,-1.0000000000000009,runaway
64.0,0.1,0.3,4,0.01,0.03,0.0,0.02,0.0,11.85119860256498,53.92425917963962,140.85383776205174,271.26756716742426,-1.0000000000000009,runaway
64.0,0.1,0.3,4,0.01,0.03,0.0,0.05,0.0,10.81510603643824,52.83178547617902,139.7613631962857,270.17509260165804,-1.0000000000000009,runaway
64.0,0.1,0.3,4,0.01,0.03,0.002,0.0,0.0,13.24069573931342,55.35186758537547,142.28144656744308,272.6951759728159,-1.0000000000000009,runaway
64.0,0.1,0.3,4,0.01,0.03,0.002,0.02,0.0,11.850754226854976,53.92364105062154,140.85321945781843,271.2669488631909,-1.0000000000000009,runaway
64.0,0.1,0.3,4,0.01,0.03,0.002,0.05,0.0,10.814760633593616,52.83126905200104,139.76084659689292,270.1745760022652,-1.0000000000000009,runaway
64.0,0.1,0.3,4,0.01,0.03,0.01,0.0,0.0,13.238275454767678,55.34874479591499,142.27832307712248,272.6920524824953,-1.0000000000000009,runaway
64.0,0.1,0.3,4,0.01,0.03,0.01,0.02,0.0,11.848977249287756,53.92116912709543,140.85074683343285,271.26447623880534,-1.0000000000000009,runaway
64.0,0.1,0.3,4,0.01,0.03,0.01,0.05,0.0,10.81337937007855,52.82920376791922,139.75878061195158,270.1725100173239,-1.0000000000000009,runaway
64.0,0.1,0.3,4,0.1,0.0,0.0,0.0,0.0,14.41018508900864,55.71118712885496,140.71570668048614,268.2413055922782,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,0.1,0.0,0.0,0.02,0.0,12.365022983570954,53.62875836013195,138.63327737410285,266.15887628589485,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,0.1,0.0,0.0,0.05,0.0,11.154670369697437,52.36352590773942,137.36804411521956,264.8936430270115,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,0.1,0.0,0.002,0.0,0.0,14.40937906438462,55.71021172977957,140.71473111753718,268.24033002932924,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,0.1,0.0,0.002,0.02,0.0,12.364516888417002,53.62808471763365,138.63260356773114,266.15820247952314,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,0.1,0.0,0.002,0.05,0.0,11.154292213098826,52.36298284449349,137.36750088810052,264.8930997998924,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,0.1,0.0,0.01,0.0,0.0,14.406156453818358,55.706311687591935,140.71083041985645,268.23642933164854,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,0.1,0.0,0.01,0.02,0.0,12.3624931673996,53.62539087171837,138.62990906632265,266.1555079781146,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,0.1,0.0,0.01,0.05,0.0,11.152779992725224,52.36081105959729,137.36532844771114,264.89092735950305,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,0.1,0.01,0.0,0.0,0.0,13.942562505713532,55.50806361880391,141.13999014147,269.60687519804065,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.1,0.01,0.0,0.02,0.0,12.192841201936467,53.72074176764529,139.35266774066076,267.8195527972313,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.1,0.01,0.0,0.05,0.0,11.04437726064292,52.5169066876501,138.14883183619096,266.61571689276144,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.1,0.01,0.002,0.0,0.0,13.941847225231234,55.507176921659806,141.13910327679775,269.6059883333684,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.1,0.01,0.002,0.02,0.0,12.192357473574305,53.720088470327255,139.3520142758149,267.81889933238546,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.1,0.01,0.002,0.05,0.0,11.044010599818415,52.51637312837449,138.14829810938704,266.61518316595755,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.1,0.01,0.01,0.0,0.0,13.938987288437872,55.503631385334096,141.13555707036102,269.60244212693163,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.1,0.01,0.01,0.02,0.0,12.190423168889348,53.71747595520703,139.34940109058385,267.8162861471544,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.1,0.01,0.01,0.05,0.0,11.042544341447908,52.51423933914468,138.14616365004656,266.61304870661706,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.1,0.03,0.0,0.0,0.0,13.278207094345778,55.38937753179289,142.3189563181945,272.73268572356704,-1.0000000000000009,runaway
64.0,0.1,0.3,4,0.1,0.03,0.0,0.02,0.0,11.877703013958335,53.95058320042831,140.8801614118192,271.2938908171914,-1.0000000000000009,runaway
64.0,0.1,0.3,4,0.1,0.03,0.0,0.05,0.0,10.83648782007298,52.85298197944432,139.7825593283198,270.1962887336918,-1.0000000000000009,runaway
64.0,0.1,0.3,4,0.1,0.03,0.002,0.0,0.0,13.27760014712988,55.3885949196492,142.31817353079296,272.7319029361655,-1.0000000000000009,runaway
64.0,0.1,0.3,4,0.1,0.03,0.002,0.02,0.0,11.877257920649754,53.94996433263402,140.87954236876726,271.2932717741395,-1.0000000000000009,runaway
64.0,0.1,0.3,4,0.1,0.03,0.002,0.05,0.0,10.836142006343158,52.8524651235788,139.78204229719654,270.1957717025685,-1.0000000000000009,runaway
64.0,0.1,0.3,4,0.1,0.03,0.01,0.0,0.0,13.275173237226529,55.38546541909285,142.3150433292059,272.72877273457846,-1.0000000000000009,runaway
64.0,0.1,0.3,4,0.1,0.03,0.01,0.02,0.0,11.875478073283707,53.94748945461075,140.87706678971347,271.2907961950857,-1.0000000000000009,runaway
64.0,0.1,0.3,4,0.1,0.03,0.01,0.05,0.0,10.8347590995289,52.85039811299956,139.77997458558673,270.19370399095874,-1.0000000000000009,runaway
64.0,0.1,0.3,4,1.0,0.0,0.0,0.0,0.0,14.514862481390187,55.81551156235818,140.82003035233188,268.34562926412303,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,1.0,0.0,0.0,0.02,0.0,12.430005494615289,53.69338058855117,138.6978988405748,266.22349775236586,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,1.0,0.0,0.0,0.05,0.0,11.20568102678926,52.41416555496403,137.41868300006226,264.9442819118532,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,1.0,0.0,0.002,0.0,0.0,14.514049378599308,55.81452903894605,140.81904766495796,268.3446465767491,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,1.0,0.0,0.002,0.02,0.0,12.42949741955422,53.69270492053918,138.6972230086009,266.22282192039194,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,1.0,0.0,0.002,0.05,0.0,11.205301825661516,52.41362140239482,137.4181386835311,264.94373759532203,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,1.0,0.0,0.01,0.0,0.0,14.510798470124982,55.81060051419652,140.81511848436173,268.34071739615285,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,1.0,0.0,0.01,0.02,0.0,12.427465780744168,53.690002974429646,138.69452040664456,266.2201193184356,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,1.0,0.0,0.01,0.05,0.0,11.203785427812775,52.41144526087096,137.41596188616094,264.94156079795187,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,4,1.0,0.01,0.0,0.0,0.0,14.038407410481494,55.60354303463927,141.23546877680883,269.7023538333789,-1.0000000000000016,runaway
64.0,0.1,0.3,4,1.0,0.01,0.0,0.02,0.0,12.256402557665565,53.78393029056,139.41585548278306,267.88274053935305,-1.0000000000000016,runaway
64.0,0.1,0.3,4,1.0,0.01,0.0,0.05,0.0,11.094728112688728,52.56687395031072,138.1987983176146,266.6656833741845,-1.0000000000000016,runaway
64.0,0.1,0.3,4,1.0,0.01,0.002,0.0,0.0,14.037686741035948,55.60265090195587,141.23457647650704,269.7014615330771,-1.0000000000000016,runaway
64.0,0.1,0.3,4,1.0,0.01,0.002,0.02,0.0,12.255916975099735,53.78327509302923,139.41520011763404,267.882085174204,-1.0000000000000016,runaway
64.0,0.1,0.3,4,1.0,0.01,0.002,0.05,0.0,11.094360445794289,52.566339339774586,138.19826353946024,266.6651485960301,-1.0000000000000016,runaway
64.0,0.1,0.3,4,1.0,0.01,0.01,0.0,0.0,14.034805257614664,55.59908363272353,141.23100853680248,269.69789359337256,-1.0000000000000016,runaway
64.0,0.1,0.3,4,1.0,0.01,0.01,0.02,0.0,12.253975255252126,53.78065497873599,139.41257933286855,267.8794643894385,-1.0000000000000016,runaway
64.0,0.1,0.3,4,1.0,0.01,0.01,0.05,0.0,11.092890163752152,52.56420134613475,138.19612487534812,266.663009931918,-1.0000000000000016,runaway
64.0,0.1,0.3,4,1.0,0.03,0.0,0.0,0.0,13.363543354338644,55.47432217132577,142.40390013733918,272.8176295427112,-1.0000000000000009,runaway
64.0,0.1,0.3,4,1.0,0.03,0.0,0.02,0.0,11.938704575058678,54.01118575718851,140.94076314788134,271.35449255325307,-1.0000000000000009,runaway
64.0,0.1,0.3,4,1.0,0.03,0.0,0.05,0.0,10.885597568818538,52.90168190902239,139.83125843673506,270.2449878421065,-1.0000000000000009,runaway
64.0,0.1,0.3,4,1.0,0.03,0.002,0.0,0.0,13.362932578341132,55.47353568298528,142.4031134736465,272.8168428790185,-1.0000000000000009,runaway
64.0,0.1,0.3,4,1.0,0.03,0.002,0.02,0.0,11.938257839374998,54.01056520017893,140.94014241551986,271.3538718208916,-1.0000000000000009,runaway
64.0,0.1,0.3,4,1.0,0.03,0.002,0.05,0.0,10.885250818837834,52.90116407089574,139.83074042325612,270.2444698286276,-1.0000000000000009,runaway
64.0,0.1,0.3,4,1.0,0.03,0.01,0.0,0.0,13.360490358518192,55.47039068287363,142.39996777212636,272.81369717749834,-1.0000000000000009,runaway
64.0,0.1,0.3,4,1.0,0.03,0.01,0.02,0.0,11.936471423868417,54.00808356668025,140.93766008061257,271.35138948598427,-1.0000000000000009,runaway
64.0,0.1,0.3,4,1.0,0.03,0.01,0.05,0.0,10.88386416756858,52.89909313184586,139.82866878279827,270.2423981881698,-1.0000000000000009,runaway
64.0,0.1,0.3,9,0.01,0.0,0.0,0.0,0.0,14.377963380084775,55.67860251407663,140.6831212818101,268.20872019360115,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,0.01,0.0,0.0,0.02,0.0,12.351837499292587,53.6152024423115,138.61972067208612,266.1453195838771,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,0.01,0.0,0.0,0.05,0.0,11.147364433041838,52.3558385113823,137.36035593421886,264.8859548460097,-0.9999999999999996,stable_acceleration
