H0,A,a_t,n,k,Omega_nu,BH_fraction,early_residual,vacuum_decay,present_age_Gyr,time_to_a10_Gyr,time_to_a1000_Gyr,time_to_a1e6_Gyr,q_future,fate
64.0,0.1,0.3,4,0.01,0.0,0.0,0.0,0.0,14.365022591837587,55.66618420415387,140.67070410011524,268.1963030119076,-0.9999999999999997,stable_acceleration
64.0,0.1,0.3,4,0.01,0.0,0.0,0.0,1e-05,14.364991090305951,55.66586665952293,140.6697646930986,267.8912521544667,-1.077639661071607,runaway
64.0,0.1,0.3,4,0.01,0.0,0.0,0.02,0.0,12.336795053397127,53.60069331370375,138.60521267213562,266.1308115839279,-0.9999999999999997,stable_acceleration
64.0,0.1,0.3,4,0.01,0.0,0.0,0.02,1e-05,12.336767129425827,53.60037999189709,138.60427748795533,265.82576494932334,-1.077639661071607,runaway
64.0,0.1,0.3,4,0.01,0.0,0.0,0.05,0.0,11.132462016665396,52.341485288565515,137.34600384070328,264.87160275249545,-0.9999999999999997,stable_acceleration
64.0,0.1,0.3,4,0.01,0.0,0.0,0.05,1e-05,11.132437657298937,52.34117647171374,137.34507316149507,264.566560622863,-1.077639661071607,runaway
64.0,0.1,0.3,4,0.01,0.0,0.002,0.0,0.0,14.364219612583183,55.66521187132231,140.6697316034504,268.19533051524274,-0.9999999999999997,stable_acceleration
64.0,0.1,0.3,4,0.01,0.0,0.002,0.0,1e-05,14.364188115091432,55.66489433383598,140.66879220358217,267.89027966495024,-1.077639661071607,runaway
64.0,0.1,0.3,4,0.01,0.0,0.002,0.02,0.0,12.33628982272562,53.600020556307626,138.6045397509062,266.13013866269847,-0.9999999999999997,stable_acceleration
64.0,0.1,0.3,4,0.01,0.0,0.002,0.02,1e-05,12.336261901909962,53.59970724071048,138.60360457293845,265.82509203430646,-1.077639661071607,runaway
64.0,0.1,0.3,4,0.01,0.0,0.002,0.05,0.0,11.132084318306937,52.3409427038122,137.34546109211692,264.8710600039091,-0.9999999999999997,stable_acceleration
64.0,0.1,0.3,4,0.01,0.0,0.002,0.05,1e-05,11.132059961385645,52.340633892387146,137.34453041833885,264.56601787970675,-1.077639661071607,runaway
64.0,0.1,0.3,4,0.01,0.0,0.01,0.0,0.0,14.361009177156731,55.66132408776007,140.66584316455413,268.1914420763465,-0.9999999999999997,stable_acceleration
64.0,0.1,0.3,4,0.01,0.0,0.01,0.0,1e-05,14.36097769581501,55.661006578840485,140.6649037932671,267.88639125463516,-1.077639661071607,runaway
64.0,0.1,0.3,4,0.01,0.0,0.01,0.02,0.0,12.334269558834752,53.59733024998625,138.60184878925094,266.1274477010432,-0.9999999999999997,stable_acceleration
64.0,0.1,0.3,4,0.01,0.0,0.01,0.02,1e-05,12.334241650635368,53.59701695921939,138.60091363612793,265.82240109749597,-1.077639661071607,runaway
64.0,0.1,0.3,4,0.01,0.0,0.01,0.05,0.0,11.13057393061185,52.338772832593136,137.34329056556416,264.86888947735633,-0.9999999999999997,stable_acceleration
64.0,0.1,0.3,4,0.01,0.0,0.01,0.05,1e-05,11.13054958346714,52.33846404286922,137.3423599135014,264.56384737486934,-1.077639661071607,runaway
64.0,0.1,0.3,4,0.01,0.01,0.0,0.0,0.0,13.901163671113128,55.46683002173534,141.09875689724782,269.56564195381884,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.01,0.01,0.0,0.0,1e-05,13.90113307583652,55.466507737448154,141.09779887914615,269.2542077985759,-1.0786406851968133,runaway
64.0,0.1,0.3,4,0.01,0.01,0.0,0.02,0.0,12.165228515672547,53.69329763930428,139.32522396530027,267.7921090218713,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.01,0.01,0.0,0.02,1e-05,12.165201203586475,53.692979293792106,139.32426988598615,267.4806788054158,-1.0786406851968133,runaway
64.0,0.1,0.3,4,0.01,0.01,0.0,0.05,0.0,11.022455812445289,52.495158660765135,138.12708416248748,266.59396921905835,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.01,0.01,0.0,0.05,1e-05,11.022431876223767,52.494844646564864,138.1261344145032,266.28254333393284,-1.0786406851968133,runaway
64.0,0.1,0.3,4,0.01,0.01,0.002,0.0,0.0,13.90045071581354,55.46594567083203,141.0978723788576,269.56475743542865,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.01,0.01,0.002,0.0,1e-05,13.90042012432874,55.46562339350767,141.09691436772226,269.253323287152,-1.0786406851968133,runaway
64.0,0.1,0.3,4,0.01,0.01,0.002,0.02,0.0,12.164745597096108,53.692645172573584,139.32457133108295,267.79145638765397,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.01,0.01,0.002,0.02,1e-05,12.164718288030617,53.69232683320134,139.3236172579123,267.4800261773419,-1.0786406851968133,runaway
64.0,0.1,0.3,4,0.01,0.01,0.002,0.05,0.0,11.022089593042367,52.49462556334307,138.1265508975783,266.5934359541492,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.01,0.01,0.002,0.05,1e-05,11.022065659187218,52.494311554554955,138.12560115501037,266.28201007444,-1.0786406851968133,runaway
64.0,0.1,0.3,4,0.01,0.01,0.01,0.0,0.0,13.897600075773266,55.46240951547963,141.094335553557,269.56122061012803,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.01,0.01,0.01,0.0,1e-05,13.897569499447142,55.46208726599639,141.09337757027782,269.24978648970756,-1.0786406851968133,runaway
64.0,0.1,0.3,4,0.01,0.01,0.01,0.02,0.0,12.162814530831081,53.69003597906834,139.32196146762965,267.78884652420066,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.01,0.01,0.01,0.02,1e-05,12.1627872338421,53.68971766424887,139.32100741902676,267.4774163384564,-1.0786406851968133,runaway
64.0,0.1,0.3,4,0.01,0.01,0.01,0.05,0.0,11.020625100090644,52.49249362124791,138.1244182855356,266.59130334210647,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.01,0.01,0.01,0.05,1e-05,11.020601175696948,52.492179634103294,138.1234685646256,266.27987748405525,-1.0786406851968133,runaway
64.0,0.1,0.3,4,0.01,0.03,0.0,0.0,0.0,13.241301029626445,55.35264851917858,142.28222767646162,272.6959570818344,-1.0000000000000007,runaway
64.0,0.1,0.3,4,0.01,0.03,0.0,0.0,1e-05,13.241272004514027,55.35231590807636,142.2812299901683,272.37106456563583,-1.0807227858839843,runaway
64.0,0.1,0.3,4,0.01,0.03,0.0,0.02,0.0,11.851198602564981,53.92425917963962,140.85383776205174,271.26756716742426,-1.0000000000000007,runaway
64.0,0.1,0.3,4,0.01,0.03,0.0,0.02,1e-05,11.851172403825027,53.92393007212862,140.85284357936308,270.9426781548305,-1.0807227858839843,runaway
64.0,0.1,0.3,4,0.01,0.03,0.0,0.05,0.0,10.815106036438241,52.83178547617902,139.7613631962857,270.17509260165804,-1.0000000000000007,runaway
64.0,0.1,0.3,4,0.01,0.03,0.0,0.05,1e-05,10.815082888998306,52.83146040706695,139.76037305201592,269.85020762748314,-1.0807227858839843,runaway
64.0,0.1,0.3,4,0.01,0.03,0.002,0.0,0.0,13.24069573931342,55.35186758537547,142.28144656744308,272.6951759728159,-1.0000000000000007,runaway
64.0,0.1,0.3,4,0.01,0.03,0.002,0.0,1e-05,13.240666717597161,55.35153498098118,142.28044888786164,272.3702834633292,-1.0807227858839843,runaway
64.0,0.1,0.3,4,0.01,0.03,0.002,0.02,0.0,11.850754226854976,53.92364105062154,140.85321945781843,271.2669488631909,-1.0000000000000007,runaway
64.0,0.1,0.3,4,0.01,0.03,0.002,0.02,1e-05,11.850728030900948,53.92331194915458,140.8522252811782,270.9420598566456,-1.0807227858839843,runaway
