quarantine,cooldown,reward,trigger,mean,median,p95,p99,p999,max,sticking_rate,decay_rate,timeout_rate
0.99,0.99,0.0,50,47.145,35.0,137.0999999999999,196.01,227.0089999999998,236,0.419,0.563,0.018
0.99,0.99,0.015,120,50.079,36.0,147.0,198.08999999999992,223.00099999999998,224,0.443,0.536,0.021
0.99,0.99,0.015,80,48.519,34.0,142.0999999999999,196.02999999999997,222.0129999999997,235,0.466,0.514,0.02
0.99,0.99,0.03,80,47.325,33.0,150.0,194.01,221.00099999999998,222,0.415,0.565,0.02
0.99,0.99,0.015,160,48.844,32.0,157.0,205.0,220.00999999999976,230,0.438,0.538,0.024
0.99,0.99,0.03,120,49.248,34.0,150.04999999999995,202.0,220.00599999999986,226,0.428,0.551,0.021
0.99,0.99,0.005,160,51.427,37.0,154.0999999999999,193.01,220.0,220,0.436,0.54,0.024
0.99,0.99,0.03,50,44.648,31.0,138.0,194.0,218.00499999999988,223,0.443,0.54,0.017
0.99,0.99,0.005,120,48.692,37.0,147.04999999999995,196.01,217.01099999999974,228,0.387,0.596,0.017
0.99,0.99,0.0,120,46.509,31.0,137.04999999999995,191.01999999999998,217.00199999999995,219,0.424,0.564,0.012
0.99,0.99,0.0,80,47.618,32.0,146.0999999999999,194.01,216.00199999999995,218,0.415,0.568,0.017
0.97,0.99,0.0,50,45.194,32.0,142.0999999999999,188.0,213.00199999999995,215,0.388,0.591,0.021
0.99,0.99,0.0,160,49.128,35.0,147.0999999999999,200.0,213.00099999999998,214,0.423,0.563,0.014
0.97,0.99,0.0,120,48.472,33.0,155.04999999999995,187.01,212.0079999999998,220,0.398,0.578,0.024
0.97,0.99,0.03,120,45.095,32.0,137.0,183.02999999999997,212.00599999999986,218,0.448,0.537,0.015
0.99,0.99,0.005,50,48.506,34.0,145.0999999999999,194.0,211.0089999999998,220,0.437,0.548,0.015
0.99,0.99,0.015,50,48.288,33.0,157.14999999999986,198.02999999999997,211.00599999999986,217,0.413,0.562,0.025
0.97,0.99,0.005,80,45.869,33.0,133.04999999999995,185.01,208.0089999999998,217,0.399,0.588,0.013
0.99,0.99,0.03,160,49.017,35.0,151.0,195.01,207.0079999999998,215,0.384,0.594,0.022
0.97,0.99,0.015,160,47.705,33.0,148.0,190.01,207.00199999999995,209,0.421,0.555,0.024
0.97,0.99,0.005,50,46.554,32.0,138.0,181.01,206.00299999999993,209,0.407,0.579,0.014
0.99,0.99,0.005,80,47.651,35.0,137.0,185.01,204.0079999999998,212,0.43,0.562,0.008
0.97,0.99,0.03,80,45.6,32.0,145.19999999999982,188.0,204.0039999999999,208,0.4,0.573,0.027
0.97,0.99,0.015,50,46.615,34.0,145.0,190.01,204.00099999999998,205,0.413,0.569,0.018
0.97,0.99,0.005,160,46.06,31.0,145.0,188.0,203.0089999999998,212,0.37,0.608,0.022
0.97,0.99,0.015,120,46.731,34.5,129.04999999999995,171.01999999999998,203.00099999999998,204,0.412,0.58,0.008
0.97,0.99,0.03,160,46.307,33.0,136.04999999999995,183.01999999999998,200.01899999999955,219,0.431,0.553,0.016
0.97,0.99,0.03,50,49.119,35.0,153.04999999999995,190.01999999999998,198.02399999999943,222,0.392,0.583,0.025
0.97,0.99,0.015,80,45.806,32.0,145.0999999999999,185.0,198.00499999999988,203,0.411,0.57,0.019
0.97,0.99,0.0,160,46.563,35.0,129.04999999999995,180.04999999999995,198.00299999999993,201,0.393,0.588,0.019
0.97,0.99,0.0,80,47.839,34.0,142.0999999999999,180.0,198.00299999999993,201,0.42,0.559,0.021
0.97,0.99,0.005,120,44.943,32.5,135.0999999999999,184.01999999999998,198.00099999999998,199,0.416,0.564,0.02
0.94,0.99,0.0,120,44.901,33.0,130.0999999999999,174.01999999999998,190.01599999999962,206,0.414,0.561,0.025
0.94,0.99,0.03,50,45.362,33.0,133.04999999999995,170.01,188.00299999999993,191,0.4,0.579,0.021
0.94,0.99,0.03,120,42.797,31.0,119.04999999999995,175.01,187.01399999999967,201,0.416,0.561,0.023
0.94,0.99,0.005,160,43.08,33.0,121.0,167.0,185.00199999999995,187,0.393,0.59,0.017
0.94,0.99,0.015,50,43.241,31.0,134.0999999999999,170.01999999999998,184.0039999999999,188,0.385,0.588,0.027
0.94,0.99,0.03,80,41.697,30.0,126.04999999999995,169.01999999999998,184.00299999999993,187,0.4,0.58,0.02
0.94,0.99,0.005,80,41.72,30.0,129.0999999999999,165.0,184.00199999999995,186,0.426,0.56,0.014
0.94,0.99,0.03,160,41.698,28.0,127.0,165.0,183.02299999999946,206,0.407,0.575,0.018
0.94,0.99,0.0,80,42.382,30.0,130.0,169.01999999999998,183.01599999999962,199,0.402,0.579,0.019
0.94,0.99,0.015,160,44.979,33.0,138.14999999999986,170.0,183.00499999999988,188,0.377,0.594,0.029
0.94,0.99,0.015,80,43.121,31.0,127.0,167.01999999999998,182.00499999999988,187,0.384,0.592,0.024
0.94,0.99,0.005,50,42.56,30.0,127.0,168.01,181.02299999999946,204,0.423,0.553,0.024
0.94,0.99,0.0,50,43.284,30.5,131.0,168.01999999999998,181.00099999999998,182,0.386,0.593,0.021
0.94,0.99,0.005,120,41.17,30.0,123.0,169.01,181.00099999999998,182,0.389,0.594,0.017
0.94,0.99,0.0,160,41.145,30.5,121.0,165.02999999999997,178.01799999999957,196,0.42,0.564,0.016
0.94,0.99,0.015,120,41.796,30.0,124.04999999999995,171.01,177.00099999999998,178,0.407,0.568,0.025
0.99,0.95,0.0,80,38.64,27.0,120.0,153.02999999999997,175.00499999999988,180,0.34,0.629,0.031
0.99,0.95,0.03,80,40.581,27.0,126.0,151.0,174.0039999999999,178,0.368,0.6,0.032
0.9,0.99,0.015,160,37.796,26.0,117.04999999999995,150.01999999999998,173.00199999999995,175,0.359,0.622,0.019
0.99,0.95,0.015,120,37.982,26.0,121.0,147.0,172.0,172,0.347,0.625,0.028
0.9,0.99,0.005,50,39.563,27.0,123.0,155.01999999999998,171.00299999999993,174,0.375,0.6,0.025
0.9,0.99,0.0,80,39.167,27.0,115.0,154.01,170.00499999999988,175,0.37,0.602,0.028
0.9,0.99,0.03,160,39.483,28.0,124.04999999999995,146.07999999999993,170.00199999999995,172,0.362,0.617,0.021
0.99,0.95,0.03,160,39.044,29.0,116.04999999999995,154.01999999999998,168.01399999999967,182,0.366,0.608,0.026
0.99,0.95,0.005,80,40.738,28.0,125.04999999999995,156.01,168.00099999999998,169,0.38,0.581,0.039
0.9,0.99,0.005,80,38.817,27.0,124.04999999999995,156.01,167.01099999999974,178,0.412,0.557,0.031
0.97,0.95,0.0,160,35.737,26.0,103.0,136.0,167.0039999999999,171,0.375,0.592,0.033
0.9,0.99,0.03,80,38.744,27.0,117.04999999999995,151.0,166.00299999999993,169,0.394,0.582,0.024
0.99,0.95,0.005,120,39.203,30.0,115.0,147.0,166.00099999999998,167,0.386,0.595,0.019
0.9,0.99,0.0,120,39.602,28.0,122.04999999999995,149.02999999999997,166.0,166,0.381,0.594,0.025
0.9,0.99,0.0,50,38.953,28.0,112.0,148.01,165.0089999999998,174,0.379,0.602,0.019
0.99,0.95,0.03,50,37.907,27.0,120.0,147.01,165.0079999999998,173,0.363,0.614,0.023
0.99,0.95,0.015,160,40.74,28.0,125.04999999999995,150.01,165.00199999999995,167,0.382,0.588,0.03
0.99,0.95,0.0,160,37.295,27.0,114.04999999999995,154.01,164.00299999999993,167,0.373,0.601,0.026
0.99,0.95,0.005,160,37.793,26.0,117.0,149.01,164.00199999999995,166,0.367,0.61,0.023
0.9,0.99,0.0,160,38.635,28.0,117.04999999999995,146.01999999999998,164.00099999999998,165,0.376,0.603,0.021
0.9,0.99,0.015,120,39.428,28.0,113.0,151.01,163.0169999999996,180,0.374,0.603,0.023
0.99,0.95,0.03,120,37.341,27.0,109.0,145.01999999999998,163.0129999999997,176,0.376,0.611,0.013
